date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:03:34	132/132	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Thu,%2015%20Oct%202020%2005:03:33%20GMT	https://owasp.org/robots.txt		(from )
02:03:34	21110/21110	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/	owasp.org/index.html	(from )
02:03:35	3691/3691	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225f7b8891-e6b%22	https://owasp.org/www--site-theme/favicon.ico	owasp.org/www--site-theme/favicon.ico	(from https://owasp.org/)
02:03:35	4757/4757	---M-Z	200	added ('OK')	application/javascript	etag:%224a25f9d64352d1324462afd705c2866e%22	https://owasp.org/cdn-cgi/apps/head/QYMcuzl7EEkHj4wXQRswO8EpDEg.js	owasp.org/cdn-cgi/apps/head/QYMcuzl7EEkHj4wXQRswO8EpDEg.js	(from https://owasp.org/)
02:03:36	4046/4046	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f7b8891-fce%22	https://owasp.org/www--site-theme/assets/js/js.cookie.js	owasp.org/www--site-theme/assets/js/js.cookie.js	(from https://owasp.org/)
02:03:39	123514/123514	---MCZ	200	added ('OK')	text/css	etag:W/%225f7b8898-1e502%22	https://owasp.org/www--site-theme/assets/css/styles.css	owasp.org/www--site-theme/assets/css/styles.css	(from https://owasp.org/)
02:03:39	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f7b8891-15851%22	https://owasp.org/www--site-theme/assets/js/jquery-3.4.1.min.js	owasp.org/www--site-theme/assets/js/jquery-3.4.1.min.js	(from https://owasp.org/)
02:03:39	1974/1974	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f7b8891-7b6%22	https://owasp.org/www--site-theme/assets/js/util.js	owasp.org/www--site-theme/assets/js/util.js	(from https://owasp.org/)
02:03:40	43332/43332	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f7b8891-a944%22	https://owasp.org/www--site-theme/assets/js/yaml.min.js	owasp.org/www--site-theme/assets/js/yaml.min.js	(from https://owasp.org/)
02:03:41	70115/70115	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f7b8891-111e3%22	https://owasp.org/www--site-theme/assets/js/luxon.min.js	owasp.org/www--site-theme/assets/js/luxon.min.js	(from https://owasp.org/)
02:03:42	11091/11091	---M--	200	added ('OK')	image/png	etag:%225f87a3df-2b53%22	https://owasp.org/assets/images/logo.png	owasp.org/assets/images/logo.png	(from https://owasp.org/)
02:03:43	228/228	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Oct%202020%2005:03:43%20GMT	https://owasp.org/donate?reponame=owasp.github.io	owasp.org/donate8492	(from https://owasp.org/)
02:03:44	228/228	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Oct%202020%2005:03:44%20GMT	https://owasp.org/membership	owasp.org/membership	(from https://owasp.org/)
02:03:45	30129/30129	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/donate/?reponame=owasp.github.io	owasp.org/donate/index8492.html	(from https://owasp.org/)
02:03:45	3780/3780	---M-Z	200	added ('OK')	application/json	etag:W/%225f7b8891-ec4%22	https://owasp.org/www--site-theme/assets/sitedata/menus.json	owasp.org/www--site-theme/assets/sitedata/menus.json	(from https://owasp.org/)
02:03:46	36938/36938	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/membership/	owasp.org/membership/index.html	(from https://owasp.org/)
02:03:46	36615/36615	---M--	200	added ('OK')	image/jpeg	etag:%225f87a3db-8f07%22	https://owasp.org/assets/images/content/ams-preso-new.jpg	owasp.org/assets/images/content/ams-preso-new.jpg	(from https://owasp.org/)
02:03:47	228/228	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Oct%202020%2005:03:47%20GMT	https://owasp.org/supporters	owasp.org/supporters	(from https://owasp.org/)
02:03:49	69148/69148	---M--	200	added ('OK')	image/jpeg	etag:%225f87a3db-10e1c%22	https://owasp.org/assets/images/content/featured_project.jpg	owasp.org/assets/images/content/featured_project.jpg	(from https://owasp.org/)
02:03:49	30135/30135	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/donate/	owasp.org/donate/index.html	(from https://owasp.org/)
02:03:49	74062/74062	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/supporters/	owasp.org/supporters/index.html	(from https://owasp.org/)
02:03:49	488/488	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/mstg/	owasp.org/mstg/index.html	(from https://owasp.org/)
02:03:51	640/640	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/mstg	owasp.org/mstg.html	(from https://owasp.org/)
02:03:52	42756/42756	---M--	200	added ('OK')	image/jpeg	etag:%225f87a3db-a704%22	https://owasp.org/assets/images/content/bay-area2.jpg	owasp.org/assets/images/content/bay-area2.jpg	(from https://owasp.org/)
02:03:53	15460/15460	---M--	200	added ('OK')	image/jpeg	etag:%225f87a3db-3c64%22	https://owasp.org/assets/images/people/leader_bjoern.jpg	owasp.org/assets/images/people/leader_bjoern.jpg	(from https://owasp.org/)
02:03:54	20852/20852	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/2020/08/01/blackhat-2020-projects.html	owasp.org/2020/08/01/blackhat-2020-projects.html	(from https://owasp.org/)
02:03:55	25578/25578	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/2020/07/31/elections-and-members.html	owasp.org/2020/07/31/elections-and-members.html	(from https://owasp.org/)
02:03:56	17883/17883	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/2020/07/23/policy-review.html	owasp.org/2020/07/23/policy-review.html	(from https://owasp.org/)
02:03:57	17924/17924	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/2020/06/29/announcing-andrew-executive-director.html	owasp.org/2020/06/29/announcing-andrew-executive-director.html	(from https://owasp.org/)
02:03:58	18024/18024	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/2020/06/08/AppSecDaysSoS.html	owasp.org/2020/06/08/AppSecDaysSoS.html	(from https://owasp.org/)
02:03:59	41155/41155	---M--	200	added ('OK')	text/yaml	etag:%225f87a3db-a0c3%22	https://owasp.org/assets/sitedata/corp_members.yml	owasp.org/assets/sitedata/corp_members.yml	(from https://owasp.org/)
02:04:00	54200/54200	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Oct%202020%2019:43:30%20GMT	https://owasp.org/www-policy/operational/privacy	owasp.org/www-policy/operational/privacy.html	(from https://owasp.org/)
02:04:00	20438/20438	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/events/	owasp.org/events/index.html	(from https://owasp.org/)
02:04:00	33860/33860	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/chapters/	owasp.org/chapters/index.html	(from https://owasp.org/)
02:04:00	61774/61774	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/projects/	owasp.org/projects/index.html	(from https://owasp.org/)
02:04:05	19461/19461	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/sitemap/	owasp.org/sitemap/index.html	(from https://owasp.org/)
02:04:05	26378/26378	---MCZ	200	added ('OK')	text/html	date:Wed,%2014%20Oct%202020%2019:43:30%20GMT	https://owasp.org/www-policy/operational/general-disclaimer.html	owasp.org/www-policy/operational/general-disclaimer.html	(from https://owasp.org/)
02:04:05	19599/19599	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/contact/	owasp.org/contact/index.html	(from https://owasp.org/)
02:04:05	22071/22071	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Oct%202020%2001:20:36%20GMT	https://owasp.org/about/	owasp.org/about/index.html	(from https://owasp.org/)
